unixtime,lat,lon,crs,spd,mmsi,shipname
1403709208,47.841615,-122.4608483,34.25,2.84,123456,TIE-FIGHTER
1403709211,48.34643333,-124.31315,11.5,1.98,123459,SLAVE I
1403709211,48.32844833,-122.992295,23.67,1.43,123460,MILLENIUM FALCON
1403709218,47.612515,-122.4586467,8.6,1.75,123458,X-WING
1403709218,48.328195,-122.9928817,23.68,1.43,123460,MILLENIUM FALCON
1403709223,48.32801167,-122.9933,23.68,1.43,123460,MILLENIUM FALCON
1403709226,47.84377167,-122.4618283,34.29,2.86,123456,TIE-FIGHTER
1403709228,47.84402667,-122.461945,34.29,2.87,123456,TIE-FIGHTER
1403709229,48.32779167,-122.9938017,23.67,1.43,123460,MILLENIUM FALCON
1403709235,48.34548333,-124.3101667,11.5,1.98,123459,SLAVE I
